id,state,Adana,Adiyaman,Afyonkarahisar,Agri,Amasya,Ankara,Antalya,Artvin,Aydin,Balikesir,Bilecik,Bingol,Bitlis,Bolu,Burdur,Bursa,Canakkale,Cankiri,Corum,Denizli,Diyarbakir,Edirne,Elazig,Erzincan,Erzurum,Eskisehir,Gaziantep,Giresun,Gumushane,Hakkari,Hatay,Isparta,Mersin,Istanbul,Izmir,Kars,Kastamonu,Kayseri,Kirklareli,Kirsehir,Kocaeli,Konya,Kutahya,Malatya,Manisa,Kahramanmaras,Mardin,Mugla,Mus,Nevsehir,Nigde,Ordu,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdag,Tokat,Trabzon,Tunceli,Sanliurfa,Usak,Van,Yozgat,Zonguldak,Aksaray,Bayburt,Karaman,Kirikkale,Batman,Sirnak,Bartin,Ardahan,Igdir,Yalova,Karabuk,Kilis,Osmaniye,Duzce,total_imm,total_emm,diff,color
72,Batman,399,90,47,65,21,694,570,10,173,87,40,23,254,29,17,309,42,24,46,99,1410,54,138,47,84,123,206,43,21,22,261,78,421,5766,748,44,44,118,39,35,144,237,42,169,192,69,421,153,226,34,29,67,40,77,63,710,19,69,100,88,62,24,153,34,337,27,34,37,10,23,14,0,141,38,8,31,41,26,18,71,36,18326,16855,1471,#0D9FFF
73,Sirnak,497,87,82,28,55,1032,317,9,147,149,47,16,66,32,31,176,117,30,73,90,436,107,51,49,50,95,491,81,7,123,168,125,827,2029,428,29,70,155,75,34,148,167,70,135,142,104,799,154,14,58,45,75,22,89,92,567,40,64,108,78,49,14,165,37,488,34,37,50,26,21,53,324,0,30,16,17,29,37,46,42,28,8356,13025,-4669,#F80000
74,Bartin,24,7,21,2,23,625,113,3,36,57,62,5,7,165,1,90,43,34,24,22,9,20,5,7,17,101,25,19,9,1,39,25,45,2669,133,11,144,40,19,30,299,60,22,23,107,22,17,45,1,15,8,11,11,59,79,0,19,16,133,40,73,5,40,6,5,15,754,10,6,4,16,6,2,0,2,11,42,315,1,3,69,7566,7104,462,#1CA5FF
75,Ardahan,32,16,29,23,14,541,67,59,43,68,15,4,6,24,3,435,41,5,31,22,28,45,13,32,161,28,52,20,6,5,32,21,39,3047,297,208,10,39,25,14,420,84,24,20,51,38,8,28,10,11,10,28,40,42,76,2,18,44,105,34,64,0,12,14,18,20,17,8,2,6,15,5,6,7,0,57,34,13,2,29,11,3775,7033,-3258,#FF2F2F
76,Igdir,58,19,60,409,31,505,124,14,110,78,14,4,11,25,18,209,59,28,39,62,61,59,45,82,369,91,50,54,21,3,56,40,83,2503,370,372,29,40,62,13,155,88,43,40,139,49,13,74,25,4,13,32,30,37,56,8,22,46,129,49,88,7,37,18,135,22,14,5,43,18,21,13,4,12,113,0,25,15,10,23,31,5179,7986,-2807,#FF4848
77,Yalova,40,4,31,33,29,356,197,28,55,131,52,28,55,34,7,1338,67,12,22,15,134,34,62,28,111,121,31,32,24,1,35,34,51,3727,339,18,20,43,26,19,1147,72,41,56,55,25,34,66,35,16,16,48,55,155,75,15,13,28,72,67,163,9,76,11,114,34,113,14,14,8,6,20,10,18,7,11,0,22,6,10,52,12269,10233,2036,#0097FA
78,Karabuk,40,10,40,27,25,842,119,13,61,76,27,10,9,272,9,189,56,370,31,32,25,76,20,27,69,100,21,33,4,21,102,34,47,2546,178,23,387,56,21,16,489,118,49,15,75,24,8,74,5,12,27,34,33,160,129,16,39,43,169,25,290,15,49,16,24,28,709,10,4,7,42,3,16,280,1,7,37,0,2,12,82,8511,9242,-731,#FF9898
79,Kilis,187,43,6,13,10,136,100,3,19,24,5,14,13,0,16,64,8,4,10,17,28,13,24,21,28,22,2687,7,3,14,251,27,186,700,67,9,11,23,6,16,38,77,9,28,13,103,21,42,12,6,27,8,0,29,21,16,0,7,17,27,12,0,110,6,25,22,12,7,1,16,9,16,2,0,0,4,5,2,0,88,4,4662,5677,-1015,#FF8F8F
80,Osmaniye,2959,121,84,78,28,767,611,32,101,91,55,48,111,75,26,162,33,52,45,65,129,48,122,104,192,143,1016,51,20,43,1226,125,792,1247,281,67,50,289,24,75,190,397,79,295,83,1178,73,165,78,51,208,52,39,77,64,48,41,109,84,79,51,28,476,28,74,68,38,99,13,48,30,24,50,15,13,23,12,35,189,0,27,15167,16319,-1152,#FF8F8F
81,Duzce,82,10,37,36,17,647,158,10,50,79,46,5,11,681,17,252,35,38,20,32,28,45,23,10,72,101,47,66,13,11,44,33,60,2245,160,18,54,36,25,19,927,88,39,31,40,33,26,81,9,18,14,83,33,821,101,10,19,52,143,46,134,0,27,27,26,37,441,19,11,16,13,17,14,71,4,4,65,82,4,47,0,11752,9046,2706,#0088E1
